gene	chromosome	tss
OTUD7A	chr15	32162876
MBLAC1	chr7	99724590
ELP5	chr17	7155056
MIR5585	chr1	32552550
DZANK1	chr20	18447674
ALKBH5	chr17	18087142
NSUN2	chr5	6633157
ATG2A	chr11	64684681
AKAP6	chr14	32798504
HGH1	chr8	145437885
RBM34	chr1	235324565
PSPH	chr7	56119137
WNK2	chr9	95947212
INF2	chr14	105155955
TUBA1C	chr12	49621709
NAA11	chr4	80247215
ZNF607	chr19	38210662
MPV17L2	chr19	18304028
FOXP1	chr3	71353922
PPP1R14B	chr11	64014415
CABYR	chr18	21719026
BCL2L12	chr19	50168399
CFL2	chr14	35183761
TLR8	chrX	12924739
MIRLET7B	chr22	46509566
DKC1	chrX	153991139
RBIS	chr8	86132651
FBXO9	chr6	52935771
GABBR1	chr6_qbl_hap6	899337
OR1F12	chr6	28041094
PROCA1	chr17	27038906
COX7A2	chr6	75960014
ATG13	chr11	46638826
ZBTB8OS	chr1	33116533
NELL1	chr11	20691097
HDAC11	chr3	13521806
FBXO46	chr19	46234154
WAPL	chr10	88281549
RPS3A	chr4	152020725
KRTAP24-1	chr21	31655268
SOD1	chr21	33031935
THRB	chr3	24537199
MLPH	chr2	238395894
ZNF219	chr14	21572863
MND1	chr4	154265840
S100PBP	chr1	33283254
CREB5	chr7	28452137
PTMA	chr2	232573235
ANKRD2	chr10	99332536
TCF7	chr5	133451304
MUC17	chr7	100663362
IGFBP3	chr7	45960871
ORM2	chr9	117092069
NRP1	chr10	33623833
STOX2	chr4	184719175
IL17RB	chr3	53880595
CHMP2A	chr19	59066472
TNFRSF21	chr6	47277641
CEP41	chr7	130080857
MAGI2-AS3	chr7	79083276
BOLL	chr2	198650043
FAM107B	chr10	14646400
MYO1B	chr2	192110130
EGFLAM	chr5	38258661
TMEM209	chr7	129845246
CLDN24	chr4	184243579
ATP2B1	chr12	90103143
OCLN	chr5	68788617
CD34	chr1	208084470
CASP9	chr1	15850710
YTHDF3	chr8	64081112
TM7SF3	chr12	27167317
TRIM62	chr1	33647644
PROZ	chr13	113812968
CNOT4	chr7	135194850
SLC9A6	chrX	135067586
MYT1L	chr2	2328461
MIR3605	chr1	33798093
LINC01088	chr4	79892902
LINC02525	chr6	3196001
GIPC3	chr19	3585476
BHLHE41	chr12	26277970
WNT4	chr1	22469590
NRBF2	chr10	64893007
OSBP2	chr22	31218503
R3HDM4	chr19	913219
TMEFF2	chr2	193059659
CCDC126	chr7	23637001
MAIP1	chr2	200820040
CD276	chr15	73976724
CYB5B	chr16	69458522
NOTCH1	chr9	139440500
LUZP2	chr11	24518599
CSMD2-AS1	chr1	34334557
AMY2A	chr1	104159954
ATP1B2	chr17	7549945
ATP1B1	chr1	169075928
ADAMTS13	chr9	136287487
KLF18	chr1	44607303
SMIM12	chr1	35325350
ABHD18	chr4	128886561
MS4A1	chr11	60223320
SRR	chr17	2207237
CRYZ	chr1	75199092
LOC653160	chr1	35444307
ZMYM1	chr1	35544986
MED16	chr19	893187
TMEM41B	chr11	9336140
SASH1	chr6	148830287
FBXL19	chr16	30935896
MBNL1	chr3	152016803
AURKB	chr17	8113893
ZMYM4-AS1	chr1	35831678
PFN4	chr2	24346204
C1orf216	chr1	36184485
SNX4	chr3	125239046
PTGDR	chr14	52734416
RIPK1	chr6	3064201
BBS9	chr7	33168897
SHD	chr19	4279066
SLC39A1	chr1	153936117
EMSY	chr11	76156062
FAM193A	chr4	2627159
WDR20	chr14	102606234
R3HDM2	chr12	57735557
HOXB6	chr17	46682348
BNIP2	chr15	59981519
RPL4	chr15	66797193
CLCN5	chrX	49834156
TCEA2	chr20	62688325
IL17REL	chr22	50451194
LRCH3	chr3	197518125
MAGEB3	chrX	30248553
ZFAND2A	chr7	1199832
RBM45	chr2	178977164
SH3D21	chr1	36771969
CHRM3	chr1	239549868
ZNF506	chr19	19932559
CCR3	chr3	46283951
SMARCD1	chr12	50479125
CYP17A1	chr10	104597170
OXNAD1	chr3	16306585
KRT8	chr12	53298860
SNORA63C	chr1	36884179
CTNNA2	chr2	79750309
RHBDL2	chr1	39395191
TP53AIP1	chr11	128813294
AQR	chr15	35261943
HILPDA	chr7	128095884
PARVB	chr22	44395091
CCDC113	chr16	58283840
MIR4255	chr1	37627164
LINC01137	chr1	37940044
TPM1	chr15	63334946
MIR6732	chr1	37945831
GIT2	chr12	110434173
CYP3A43	chr7	99425636
GORASP1	chr3	39149118
MIR5581	chr1	37966595
PITPNM3	chr17	6459875
GNL2	chr1	38061538
C12orf57	chr12	7053185
GNG13	chr16	850734
SIRT6	chr19	4182560
TLR7	chrX	12885191
SCAND1	chr20	34542548
ACKR4	chr3	132318981
CYHR1	chr8	145688234
HNF1A	chr12	121416346
EML4	chr2	42396493
TAS2R30	chr12	11286843
CCDC121	chr2	27851898
SP100	chr2	231280916
IQCD	chr12	113658899
CTCFL	chr20	56099923
SPINK2	chr4	57687908
COPZ1	chr12	54718915
ANLN	chr7	36429471
EXD3	chr9	140317614
ANKS4B	chr16	21245020
ATP7A	chrX	77166153
DLG1	chr3	197025006
EPHA10	chr1	38230792
MANEAL	chr1	38259774
CCZ1B	chr7	6865926
MYO1H	chr12	109826524
EIF4E	chr4	99851788
INPP5B	chr1	38397411
ACSF2	chr17	48503519
POLE2	chr14	50154932
C1QTNF6	chr22	37584287
MEIS2	chr15	37391597
NRSN2	chr20	328549
RAP1A	chr1	112207416
ELOA3C	chr18	44550298
TST	chr22	37415488
PSMB6	chr17	4699459
PPP2R5D	chr6	42952308
TAGLN2	chr1	159893524
TEKT4	chr2	95537175
RGS7	chr1	241520530
L3MBTL4	chr18	6415258
PFDN5	chr12	53689235
PGRMC1	chrX	118370208
RUVBL2	chr19	49497144
CCL27	chr9	34662654
PPP1R13L	chr19	45909619
MIR3659	chr1	38554903
LINC01343	chr1	38680439
LINC01685	chr1	38940868
ACCS	chr11	44087820
DTNA	chr18	32290262
GLI2	chr2	121549857
GJA9-MYCBP	chr1	39347298
LOC105378663	chr1	39339073
TSSK2	chr22	19118821
CSMD2	chr1	34630875
PSMG2	chr18	12703041
AGAP2	chr12	58135944
PEAK3	chr19	2282174
TEX9	chr15	56657622
VPS37A	chr8	17104467
PPARG	chr3	12329383
SAA2	chr11	18270215
TCP1	chr6	160210735
DGUOK	chr2	74154007
OXCT2P1	chr1	39980538
PPIEL	chr1	40025370
DDX31	chr9	135538804
PABPC4-AS1	chr1	40030742
SNORA55	chr1	40033182
CPLANE2	chr1	16563678
CHTOP	chr1	153606458
CTSL	chr9	90341034
PPIE	chr1	40204517
TRABD2B	chr1	48463057
LDLRAD1	chr1	54483859
PDXDC1	chr16	15068883
LOC101929536	chr1	40254648
ZNF630	chrX	47931007
TRIT1	chr1	40349176
PCM1	chr8	17780366
SATB2	chr2	200322662
SCAMP1	chr5	77656441
SNX13	chr7	17980117
BZW2	chr7	16685806
DGCR2	chr22	19109925
RHOA	chr3	49449409
TBXAS1	chr7	139529063
MED30	chr8	118532952
FARP2	chr2	242295700
PHKG2	chr16	30759746
TFEB	chr6	41703265
MIER1	chr1	67395939
KLHDC4	chr16	87799592
DCBLD1	chr6	117803837
IGLL5	chr22	23229996
KDM5D	chrY	21906612
LOC102725023	chr19_gl000209_random	98146
ARSD	chrX	2847380
ANKMY1	chr2	241500481
SERPINC1	chr1	173886465
TNIP1	chr5	150466727
SMAP2	chr1	40839399
THEMIS2	chr1	28199055
SLC1A5	chr19	47288071
FRAT1	chr10	99079028
NFYC-AS1	chr1	41157933
CAPG	chr2	85637489
CSE1L	chr20	47662849
TAF6	chr7	99716981
GNAI1	chr7	79765100
TLE3	chr15	70390256
FAM236C	chrX	72132453
ASCC1	chr10	73975714
NBPF15	chr1	148558188
RPS17	chr15	82824865
ECD	chr10	74927853
YY1AP1	chr1	155658823
SLFNL1-AS1	chr1	41480262
HTATIP2	chr11	20385687
PRTFDC1	chr10	25241535
CT47A5	chrX	120105058
CT47A6	chrX	120119638
VTA1	chr6	142468299
SCMH1	chr1	41707978
ZBTB48	chr1	6640054
RANBP1	chr22	20105028
FLT3LG	chr19	49977472
SEMA6D	chr15	48010289
TPTE	chr21	10990943
SLC12A6	chr15	34629217
FAM72B	chr1	120839412
FOXJ3	chr1	42801551
BTN3A2	chr6	26365426
SLC8B1	chr12	113772914
RNPEPL1	chr2	241507901
ZMYND12	chr1	42921693
PDE1A	chr2	183387572
XPC	chr3	14220101
JADE3	chrX	46771856
ARHGAP27	chr17_ctg5_hap1	125407
DYRK4	chr12	4699244
COX4I1	chr16	85833301
SEZ6L	chr22	26565428
NANOS1	chr10	120789226
ZNF365	chr10	64134128
CLLU1	chr12	92815307
MDFIC	chr7	114562209
SP8	chr7	20826505
PDE4DIP	chr1	144995033
TMEM154	chr4	153601149
DENND6A	chr3	57678804
TKFC	chr11	61100700
ZNF691	chr1	43312284
LOC339539	chr1	43323293
STRA6	chr15	74501371
SLC2A1-AS1	chr1	43424720
MEMO1	chr2	32236077
MIR6733	chr1	43637383
CHAT	chr10	50822083
DDX39B	chr6	31509780
RRM2	chr2	10262866
PLCXD1	chrY	148048
PICALM	chr11	85780126
TRAPPC4	chr11	118889476
IGF1	chr12	102874341
LYN	chr8	56792394
EZR	chr6	159239267
TOP1MT	chr8	144417050
RPTOR	chr17	78518638
MIR6734	chr1	43830386
MCHR2	chr6	100442099
VPS52	chr6_cox_hap2	4683552
CFAP298	chr21	33984687
TAMM41	chr3	11888359
MAP2K3	chr17	21188023
SZT2-AS1	chr1	43914315
MIR6735	chr1	43914210
GPRC5C	chr17	72429836
CTNNA1	chr5	138210919
GLYR1	chr16	4897389
C18orf54	chr18	51884276
SCN9A	chr2	167232497
ORC4	chr2	148778316
CHIA	chr1	111833473
DPP10	chr2	116066813
GPR68	chr14	91720224
DAG1	chr3	49507565
ST3GAL6	chr3	98451080
CLEC4A	chr12	8276228
MRTO4	chr1	19578299
ZBED2	chr3	111314193
MMP11	chr22	24115036
FOXO4	chrX	70315701
ZKSCAN3	chr6	28317724
KDM4A-AS1	chr1	44173012
MSH4	chr1	76262567
MSI1	chr12	120806967
MSMB	chr10	51549553
SECISBP2	chr9	91933415
ZNF415	chr19	53636173
HIP1	chr7	75368259
KIAA1324L	chr7	86669550
BTD	chr3	15643252
TTLL7	chr1	84464815
C2orf49	chr2	105953997
SLC25A23	chr19	6459803
CCDC136	chr7	128432022
YIPF1	chr1	54355470
MRPL48	chr11	73498919
IQCB1	chr3	121553926
MYB	chr6	135502446
LOC101929592	chr1	44193014
MIR6079	chr1	44304294
KTN1	chr14	56046925
PTPN20	chr10	46641013
FSTL5	chr4	163085186
KLC2	chr11	66025174
UBD	chr6_qbl_hap6	830828
ARL6IP5	chr3	69134088
ZBTB20	chr3	114866135
CCDC24	chr1	44457498
FYTTD1	chr3	197476754
C15orf62	chr15	41062178
CENPN	chr16	81040103
ADGRE2	chr19	14889372
DSE	chr6	116575334
THAP1	chr8	42698474
ENOX1	chr13	44361108
NOXA1	chr9	140317847
DHX8	chr17	41561233
COL11A2	chr6_cox_hap2	4604080
ERI3	chr1	44820929
UGT2B4	chr4	70361623
ERI3-IT1	chr1	44709955
SNORA110	chr1	44718231
TP63	chr3	189349178
MIR5584	chr1	45011165
TMEM53	chr1	45140153
ALAS1	chr3	52232099
ZNF197	chr3	44666528
SNORD145	chr1	45136728
SPDYE2B	chr7	102191679
RNU5F-1	chr1	45187573
RNU5D-1	chr1	45196840
SLX1A	chr16	29465822
CST8	chr20	23471754
SAE1	chr19	47634092
SPDYE18	chr7	76690198
POLR3H	chr22	41940493
RPGR	chrX	38186762
ADPRHL1	chr13	114107803
SNORD160	chr1	45227707
SNORD55	chr1	45241537
SNORD46	chr1	45242164
SNORD38A	chr1	45243514
SNORD38B	chr1	45244062
NSUN3	chr3	93781905
GAB2	chr11	78052926
ACTRT2	chr1	2938031
CDKN2D	chr19	10679655
DEFB104A	chr8	7693958
S100A16	chr1	153581831
MSL3	chrX	11776278
TCAF1	chr7	143599269
TAOK3	chr12	118628340
H2AX	chr11	118966177
CFAP298-TCP10L	chr21	33984687
TP53TG3B	chr16	33262118
TP53TG3C	chr16	33262120
SPDEF	chr6	34524110
LINC01144	chr1	45769582
OR2Z1	chr19	8841316
SUGT1	chr13	53226971
RAP1GAP	chr1	21995850
STRIP2	chr7	129074273
PTDSS1	chr8	97274130
REXO1	chr19	1848482
HDHD5	chr22	17646177
SUPT3H	chr6	45345601
IFT52	chr20	42219577
SRMS	chr20	62178857
GDAP1L1	chr20	42875948
HELZ	chr17	65241312
CCDC185	chr1	223566757
MFSD6L	chr17	8702683
FSIP1	chr15	40075042
IL21R	chr16	27438592
PHTF2	chr7	77469445
LSP1	chr11	1891482
NR2F1-AS1	chr5	92917026
FBXO48	chr2	68694426
TTC29	chr4	147867016
RACGAP1	chr12	50419340
GRIPAP1	chrX	48858675
SOAT2	chr12	53497270
FN1	chr2	216300791
SAMD9	chr7	92747336
UBAP2L	chr1	154193431
PBRM1	chr3	52719929
FASTK	chr7	150777970
PAX8	chr2	114036498
SLC44A4	chr6_mcf_hap5	3226647
CALCB	chr11	15095139
CACNG1	chr17	65040670
RPS15AP10	chr1	46112357
PPP1R16A	chr8	145703365
SLIRP	chr14	78174446
CELF2	chr10	11059835
LIMS1	chr2	109150926
GGT5	chr22	24641110
TOR1AIP2	chr1	179846938
RNH1	chr11	506768
SLAMF1	chr1	160616834
STIL	chr1	47779819
CNPY3	chr6	42897218
SYNCRIP	chr6	86352640
COA8	chr14	104029297
LOC101929626	chr1	46599043
ASB11	chrX	15332681
CFHR4	chr1	196857182
CCDC142	chr2	74710125
ISL1	chr5	50679282
GUCD1	chr22	24951903
PRKCZ	chr1	2004901
DMTN	chr8	21912418
CEMIP2	chr9	74383429
ZMYND11	chr10	181749
NSA2	chr5	74063074
STK32C	chr10	134145384
C1orf229	chr1	247275719
NCBP1	chr9	100395705
CASP5	chr11	104893895
LINC01398	chr1	46915376
CYB5R2	chr11	7694731
RIC3	chr11	8190572
MKNK1-AS1	chr1	47004368
KNCN	chr1	47017329
PRPSAP2	chr17	18759654
EXOSC8	chr13	37574923
ZDHHC22	chr14	77607087
ZNF543	chr19	57831840
C2orf66	chr2	197675000
TMEM222	chr1	27648636
MOB3C	chr1	47082563
NMNAT2	chr1	183387515
C2	chr6_mann_hap4	3238552
ASGR2	chr17	7017629
SAFB	chr19	5623094
WDR4	chr21	44299699
CSRP1	chr1	201476251
EFCAB14-AS1	chr1	47139708
PHF21A	chr11	46142536
SH3YL1	chr2	264824
CYP4Z2P	chr1	47366147
NOP2	chr12	6677457
RHNO1	chr12	2986365
ODAPH	chr4	76481258
IDNK	chr9	86238058
MRPL9	chr1	151735972
SPATA9	chr5	95018714
CDK2AP1	chr12	123754830
TSLP	chr5	110409072
LMO1	chr11	8285425
TWNK	chr10	102747300
INTS11	chr1	1260067
ANKS1B	chr12	100378432
MRS2	chr6	24403164
GC	chr4	72671237
ICA1	chr7	8301797
NEDD4L	chr18	55816552
LINC00853	chr1	47644922
ZNF761	chr19	53935237
ALDH8A1	chr6	135271239
ZNF530	chr19	58111253
CLHC1	chr2	55459429
PPCS	chr1	42922165
RNF169	chr11	74459894
SEZ6	chr17	27333051
NSMF	chr9	140353786
PPIAL4A	chr1	149553003
MIXL1	chr1	226411365
DPYSL2	chr8	26435461
CMPK1	chr1	47799462
PPT2	chr6_cox_hap2	3592586
LINC01389	chr1	47902989
BRCC3	chrX	154299695
PHF13	chr1	6673791
SKINT1L	chr1	48648100
VIPR1	chr3	42544104
SH2D3C	chr9	130540945
NDUFS1	chr2	207024168
SPATA6	chr1	48937876
SCGB1A1	chr11	62186505
SUMO1	chr2	203103320
UBE2N	chr12	93835723
CLEC4M	chr19	7828129
OPA1	chr3	193310933
CAMK2G	chr10	75634313
LTB	chr6_qbl_hap6	2843841
LSS	chr21	47648738
MARCKSL1	chr1	32801834
AGBL4-IT1	chr1	49937757
ZNF311	chr6_ssto_hap7	314271
CD151	chr11	832952
SYT8	chr11	1855657
IFNG	chr12	68553520
NOS1	chr12	117747215
HDAC3	chr5	141016423
NCOR2	chr12	125052158
ZNF618	chr9	116638562
MIR4421	chr1	51525509
MIR6500	chr1	51525690
LINC01562	chr1	51700768
BMPR2	chr2	203241050
BMPR1B	chr4	95972828
EPB41	chr1	29241081
SERPINB4	chr18	61311490
SMARCB1	chr22	24129153
SATB1	chr3	18486364
GABPB2	chr1	151043237
IL15RA	chr10	6019506
SMIM32	chr5	135528850
SFXN2	chr10	104474393
TTC39A-AS1	chr1	51795326
CDC14B	chr9	99382125
SEPTIN12	chr16	4838346
RBM19	chr12	114404130
TACC1	chr8	38586100
CHMP1B	chr18	11851412
GOPC	chr6	117923674
MRPL47	chr3	179322434
GRK7	chr3	141497043
RGSL1	chr1	182419281
SS18L2	chr3	42632352
RSL24D1	chr15	55489139
DUSP6	chr12	89746278
BIN2	chr12	51717958
CAB39	chr2	231578263
HP1BP3	chr1	21113800
PDC	chr1	186430246
VPS16	chr20	2821343
SPRTN	chr1	231474039
NTPCR	chr1	233086357
TTC13	chr1	231114607
CCDC169	chr13	36871951
COG6	chr13	40229764
MBD3L5	chr19	7030594
SLC16A3	chr17	80190108
MXRA7	chr17	74707047
MAP3K3	chr17	61699777
TXNDC12-AS1	chr1	52516590
BTF3L4	chr1	52521967
YJU2	chr19	4247077
ROBO1	chr3	79817148
SLC25A35	chr17	8198718
TSPAN7	chrX	38420731
TK2	chr16	66584194
TRIB3	chr20	361987
ATRX	chrX	77041702
SNRPD2	chr19	46195211
PRCP	chr11	82612782
P2RY2	chr11	72929326
ZNF493	chr19	21579935
PALM2AKAP2	chr9	112887781
TULP3	chr12	3000057
PDGFRL	chr8	17433942
MIR513C	chrX	146271305
STX7	chr6	132834611
NPNT	chr4	106816628
ECHDC2	chr1	53387412
TOGARAM1	chr14	45431393
BCL2L13	chr22	18121350
DEPDC1B	chr5	59995993
CIB2	chr15	78423787
GPR155	chr2	175351757
WNT5A	chr3	55515426
XRCC4	chr5	82373366
PAPOLA	chr14	96968719
TSR2	chrX	54466808
INHBE	chr12	57849090
YPEL3	chr16	30107534
CCDC120	chrX	48916497
ENO1	chr1	8938745
EIF2D	chr1	206785818
ZBTB7C	chr18	45938956
NUDT2	chr9	34329504
TUBB2B	chr6	3227887
BVES	chr6	105584543
NFX1	chr9	33290514
MIR299	chr14	101490131
LOC100507564	chr1	53704282
TRPM3	chr9	73483968
METTL21A	chr2	208489712
WDR91	chr7	134896278
LINC01771	chr1	53793905
SLC25A3P1	chr1	53905693
HDHD2	chr18	44676871
WWP2	chr16	69872640
SLC49A3	chr4	682940
KHDRBS1	chr1	32479469
KIAA1328	chr18	34409090
TMEM54	chr1	33366990
NOL8	chr9	95087876
MTRF1	chr13	41837712
ZNF131	chr5	43121016
LINC02861	chr16	4000445
KLRF1	chr12	9980077
LAMB3	chr1	209825674
CD163	chr12	7656373
MIR519A1	chr19	54255651
MIR518C	chr19	54211989
HSPB11	chr1	54411981
TMEM134	chr11	67236722
PITPNM1	chr11	67272834
EFL1	chr15	82554869
DNAJC28	chr21	34863790
WDR48	chr3	39093507
OSBPL3	chr7	24932240
ROMO1	chr20	34287327
SYCP2	chr20	58508692
SH3BP1	chr22	38035676
TMEM183A	chr1	202976502
RPAP3	chr12	48099813
SLCO1B3-SLCO1B7	chr12	20968608
MIR1908	chr11	61582712
MIR513B	chrX	146280645
MIR4781	chr1	54519752
MEOX1	chr17	41739290
CT47A9	chrX	120066151
PEX5L	chr3	179692013
TMEM165	chr4	56262124
CYB5RL	chr1	54665703
HADHB	chr2	26467616
SEPTIN2	chr2	242254602
XAF1	chr17	6659365
TBX5	chr12	114843949
HSP90AB1	chr6	44214695
SSBP3-AS1	chr1	54702116
ARGLU1	chr13	107220485
TRMT61B	chr2	29093175
MRTFB	chr16	14280543
ZBTB10	chr8	81398461
MROH7	chr1	55107459
MROH7-TTC4	chr1	55107413
MAGEB5	chrX	26234286
HOXD8	chr2	176994433
NBPF3	chr1	21766630
KNOP1	chr16	19729549
DENND1B	chr1	197744610
CSF1	chr1	110453471
OSMR	chr5	38846101
PLA2G2A	chr1	20306927
FMO3	chr1	171060046
LOC100507634	chr1	55681081
MIR4422HG	chr1	55683534
MIR4422	chr1	55691314
LINC01753	chr1	56410636
LINC01755	chr1	56410760
LINC01767	chr1	56880635
C2orf81	chr2	74648746
PAOX	chr10	135192766
LOC101929935	chr1	57110991
BRPF1	chr3	9773419
SLITRK4	chrX	142722319
EIF2A	chr3	150264465
PLEKHA8	chr7	30068028
TRPC1	chr3	142442876
LRRFIP1	chr2	238600807
ACSL1	chr4	185747122
FAM120A	chr9	96213978
ANAPC4	chr4	25378885
TXLNG	chrX	16804555
TRPS1	chr8	116681202
DAB1-AS1	chr1	58326253
TSPAN6	chrX	99892101
TACO1	chr17	61678254
PPP1R12C	chr19	55629005
LINC01135	chr1	59250823
LINC01358	chr1	59486148
HSD52	chr1	59612479
FAM221A	chr7	23719818
ALG9	chr11	111742024
TYRO3	chr15	41851410
MPC1	chr6	166796428
FRS2	chr12	69864168
IL17RD	chr3	57199381
PRR15	chr7	29605149
EVX1	chr7	27282421
BICC1	chr10	60272632
STK31	chr7	23749838
PAX5	chr9	37034265
MIR4711	chr1	60198968
LOC101926944	chr1	60238467
PAWR	chr12	80084877
ATAT1	chr6_mann_hap4	1942723
NSUN4	chr1	46806850
AKT3	chr1	244006584
LINC01748	chr1	61088357
LOC101926964	chr1	61291256
NFIA-AS2	chr1	61436448
ZFP91	chr11	58346536
BACE1	chr11	117186972
KCNN3	chr1	154832352
NFIA-AS1	chr1	61719190
MGC34796	chr1	62119914
TM2D1	chr1	62190813
IZUMO4	chr19	2096914
SCN4B	chr11	118023630
HMGCS2	chr1	120311528
TXNL4B	chr16	72127519
CYP1A1	chr15	75017869
RRP12	chr10	99161127
MIR3116-1	chr1	62544458
MIR3116-2	chr1	62544528
DDX25	chr11	125774403
IFI44L	chr1	79086133
ACADVL	chr17	7123150
NIPAL2	chr8	99306463
RABL2A	chr2	114384843
BHLHA9	chr17	1173858
SRP19	chr5	112196885
SEC14L2	chr22	30792930
HSD17B4	chr5	118788192
CDH23	chr10	73156677
MLLT10	chr10	21823101
ATP6V0E2	chr7	149571058
FLNC	chr7	128470460
PPHLN1	chr12	42719947
LINC01739	chr1	63478142
LINC00324	chr17	8127361
MBNL1-AS1	chr3	151987415
SCHLAP1	chr2	181556831
MIR6068	chr1	63792655
BFSP2	chr3	133118900
BCAR3	chr1	94312775
EEA1	chr12	93323071
LYRM1	chr16	20912584
ITGB3BP	chr1	63988944
RIPPLY3	chr21	38378450
BECN2	chr1	242121069
ARHGAP17	chr16	25026690
TROAP	chr12	49717038
MEA1	chr6	42984624
HOXD4	chr2	177016278
HOXC4	chr12	54447619
BRINP1	chr9	122131713
ETNK2	chr1	204121172
ANKRD45	chr1	173638990
STRADA	chr17	61819346
SH3BP4	chr2	235887347
UBE2U	chr1	64669306
CCDC66	chr3	56591184
PPFIBP1	chr12	27677139
DPF3	chr14	73360824
MIR4794	chr1	65045530
LRRC28	chr15	99791686
METRNL	chr17	81037485
RHBDD1	chr2	227700770
S100A1	chr1	153600910
RAB40C	chr16	640066
BCAP29	chr7	107220691
CD99	chrY	2559336
MGAT5	chr2	134877506
LINC01359	chr1	65468159
MIR3671	chr1	65523525
DET1	chr15	89089934
ZDHHC4	chr7	6617085
GSPT2	chrX	51486538
WDR74	chr11	62607682
THOC7	chr3	63849462
FRAS1	chr4	78978724
MPV17L	chr16	15489611
OPCML	chr11	133402396
DNAJC21	chr5	34929664
RIPOR3	chr20	49308079
CCNT2	chr2	135676392
PIK3C2B	chr1	204459474
SENP8	chr15	72410744
ANK1	chr8	41655140
MTHFD2L	chr4	75023835
FLT1	chr13	29069265
SCOC	chr4	141294664
RHBG	chr1	156339002
YTHDF2	chr1	29063452
TFB1M	chr6	155635618
NEK4	chr3	52804956
FABP6	chr5	159626048
ARHGEF18	chr19	7460031
CALCRL	chr2	188312979
ABCA4	chr1	94586704
CDK15	chr2	202671152
MKNK1	chr1	47069940
CRMP1	chr4	5894813
INO80E	chr16	30007562
MIR3117	chr1	67094123
SLC26A7	chr8	92221724
RASL11B	chr4	53728484
ANKRD28	chr3	15798054
PRUNE1	chr1	150980925
MYCN	chr2	16080672
PRG4	chr1	186265411
PPIP5K2	chr5	102456005
SLC39A6	chr18	33709303
SGCE	chr7	94285445
ARMC10	chr7	102715587
C1S	chr12	7168022
TBC1D3	chr17	36348621
MLH1	chr3	37035009
POU2AF1	chr11	111250000
CORO7	chr16	4466597
TRPM1	chr15	31393928
MARCHF2	chr19	8478189
NCOR1	chr17	16118848
MIR148B	chr12	54731000
MIR135B	chr1	205417526
MIR425	chr3	49057667
MIR424	chrX	133680741
MIR196B	chr7	27209182
MIR335	chr7	130135952
EFNB2	chr13	107188010
MIR339	chr7	1062662
MIR338	chr17	79099749
KRBOX4	chrX	46306624
PPP4R4	chr14	94640649
SUV39H1	chrX	48555125
GNG12-AS1	chr1	68297971
GMFG	chr19	39826683
SCLT1	chr4	130014694
MIR1262	chr1	68649293
GSG1	chr12	13256601
DEPDC1-AS1	chr1	68962359
LINC01707	chr1	69521581
LINC01758	chr1	69898938
SETDB2-PHF11	chr13	50018410
ZNF749	chr19	57946693
ZNF773	chr19	58011306
PDCD2L	chr19	34895303
MRPL45	chr17	36452989
VPS25	chr17	40925467
BRMS1L	chr14	36295544
EDA	chrX	68835957
PIN1P1	chr1	70385005
DPP6	chr7	154002244
CNKSR2	chrX	21392536
ABCB7	chrX	74376118
ISG20L2	chr1	156698231
ADIRF	chr10	88728239
TMED10	chr14	75643315
CEP112	chr17	63822569
KRTAP19-6	chr21	31914183
SNHG12	chr1	28908385
CCDC178	chr18	31021004
CCNH	chr5	86708747
FZD1	chr7	90893748
H4C9	chr6	27107088
UBE2V1	chr20	48732494
VSIG4	chrX	65259922
TMEM9B	chr11	8986558
LINC01788	chr1	71172136
CBX3	chr7	26241365
TUSC2	chr3	50365669
STK38	chr6	36515256
NUDT4	chr12	93772354
TIPRL	chr1	168148200
ZRANB2-AS1	chr1	71512189
UGT1A7	chr2	234590584
SLC38A2	chr12	46766556
ZRANB2-AS2	chr1	71547007
JMJD4	chr1	227923112
NEGR1-IT1	chr1	72302695
LINC01360	chr1	73771853
LINC02238	chr1	74140362
SIGLEC10	chr19	51920896
FPGT-TNNI3K	chr1	74663896
STARD8	chrX	67913481
RNASEH2B	chr13	51483814
LOC647264	chr13	64407186
FBXL3	chr13	77601294
LRRC53	chr1	74949124
TEX2	chr17	62340620
TMEM218	chr11	124981522
ERICH3-AS1	chr1	75055419
TSACC	chr1	156308317
GLRA2	chrX	14547420
TYW3	chr1	75198836
MDM1	chr12	68726142
NUDT16L1	chr16	4743719
CPA3	chr3	148583083
HNRNPH1	chr5	179050672
COX6B1	chr19	36139225
SLC31A2	chr9	115913287
COL16A1	chr1	32169618
SRRT	chr7	100472725
SLIT2	chr4	20253528
DLSTP1	chr1	76210698
MIR3658	chr1	165877158
MIR3619	chr22	46486924
DPH7	chr9	140473044
SNORD45A	chr1	76253574
SNORD45B	chr1	76255162
C11orf71	chr11	114271233
LOC101927342	chr1	76477009
TRIQK	chr8	93978372
LRRCC1	chr8	86019473
CRISPLD1	chr8	75912390
CENPJ	chr13	25496999
S1PR2	chr19	10342007
LINC02567	chr1	77244952
IL15	chr4	142557736
MIR7156	chr1	77525828
C1orf194	chr1	109656453
PTBP3	chr9	115095899
KIFC3	chr16	57837165
TNFRSF1A	chr12	6451242
PIGG	chr4	492989
ZNF133	chr20	18269171
RFLNB	chr17	295731
SELENOV	chr19	40005753
ANKDD1A	chr15	65204101
H2AJ	chr12	14927270
